"""ORIGIN"",""-425"",""36"",""-2035"",""0"",""-90"",""0"""
"""NODE"",""-389.486605"",""15.82976"",""-2041.442439"",""-0.826563"",""0.547216"",""0.131712"""
"""NODE"",""-389.634469"",""15.52842"",""-2041.071875"",""-0.808543"",""0.574436"",""0.1276"""
"""NODE"",""-389.791387"",""15.23554"",""-2040.698264"",""-0.790672"",""0.600128"",""0.121174"""
"""NODE"",""-389.957474"",""14.951502"",""-2040.321802"",""-0.772958"",""0.624393"",""0.112562"""
"""NODE"",""-390.132861"",""14.676714"",""-2039.942704"",""-0.75538"",""0.647321"",""0.10187"""
"""NODE"",""-390.31767"",""14.411586"",""-2039.561213"",""-0.737918"",""0.668965"",""0.089236"""
"""NODE"",""-390.511997"",""14.156518"",""-2039.177598"",""-0.720595"",""0.689296"",""0.07493"""
"""NODE"",""-390.715887"",""13.911868"",""-2038.792164"",""-0.703354"",""0.708388"",""0.058996"""
"""NODE"",""-390.929349"",""13.67784"",""-2038.40532"",""-0.686312"",""0.726098"",""0.041927"""
"""NODE"",""-391.15234"",""13.454611"",""-2038.017472"",""-0.66943"",""0.742494"",""0.023806"""
"""NODE"",""-391.384795"",""13.242336"",""-2037.629032"",""-0.652673"",""0.757625"",""0.004747"""
"""NODE"",""-391.626638"",""13.041164"",""-2037.240415"",""-0.635986"",""0.771551"",""-0.015168"""
"""NODE"",""-391.8778"",""12.851254"",""-2036.852041"",""-0.619282"",""0.784348"",""-0.035894"""
"""NODE"",""-392.138224"",""12.672779"",""-2036.464343"",""-0.602501"",""0.796055"",""-0.057345"""
"""NODE"",""-392.407827"",""12.50583"",""-2036.07779"",""-0.58575"",""0.806615"",""-0.079174"""
"""NODE"",""-392.686445"",""12.350359"",""-2035.692846"",""-0.569055"",""0.81605"",""-0.101185"""
"""NODE"",""-392.973879"",""12.206267"",""-2035.30996"",""-0.55242"",""0.824406"",""-0.123237"""
"""NODE"",""-393.269919"",""12.073441"",""-2034.929563"",""-0.535797"",""0.831758"",""-0.145255"""
"""NODE"",""-393.574368"",""11.951771"",""-2034.552083"",""-0.519096"",""0.838199"",""-0.167217"""
"""NODE"",""-393.887059"",""11.841178"",""-2034.177951"",""-0.502178"",""0.843827"",""-0.189141"""
"""NODE"",""-394.207869"",""11.741635"",""-2033.807607"",""-0.484969"",""0.848704"",""-0.210966"""
"""NODE"",""-394.536641"",""11.653079"",""-2033.441478"",""-0.467548"",""0.852857"",""-0.232453"""
"""NODE"",""-394.873066"",""11.575235"",""-2033.079892"",""-0.45014"",""0.856296"",""-0.253243"""
"""NODE"",""-395.216887"",""11.507869"",""-2032.723194"",""-0.432517"",""0.859155"",""-0.273463"""
"""NODE"",""-395.567861"",""11.450845"",""-2032.371699"",""-0.414569"",""0.861505"",""-0.293158"""
"""NODE"",""-395.925724"",""11.404099"",""-2032.025674"",""-0.396279"",""0.863368"",""-0.312345"""
"""NODE"",""-396.290206"",""11.36756"",""-2031.685376"",""-0.377701"",""0.864752"",""-0.330976"""
"""NODE"",""-396.66102"",""11.341107"",""-2031.351034"",""-0.359031"",""0.865664"",""-0.348887"""
"""NODE"",""-397.037847"",""11.324565"",""-2031.022837"",""-0.340016"",""0.866144"",""-0.366312"""
"""NODE"",""-397.420414"",""11.317915"",""-2030.700993"",""-0.320662"",""0.866197"",""-0.383248"""
"""NODE"",""-397.808457"",""11.321186"",""-2030.38572"",""-0.300892"",""0.865827"",""-0.399759"""
"""NODE"",""-398.201707"",""11.334398"",""-2030.077232"",""-0.280735"",""0.865034"",""-0.415817"""
"""NODE"",""-398.599885"",""11.357557"",""-2029.775729"",""-0.260232"",""0.863821"",""-0.431385"""
"""NODE"",""-399.002699"",""11.390641"",""-2029.481394"",""-0.23945"",""0.862194"",""-0.446414"""
"""NODE"",""-399.409845"",""11.433599"",""-2029.194387"",""-0.218346"",""0.860154"",""-0.460935"""
"""NODE"",""-399.821063"",""11.486504"",""-2028.914949"",""-0.196591"",""0.857652"",""-0.475169"""
"""NODE"",""-400.236116"",""11.549523"",""-2028.643391"",""-0.174212"",""0.85467"",""-0.489069"""
"""NODE"",""-400.654725"",""11.622731"",""-2028.379968"",""-0.151394"",""0.851221"",""-0.502496"""
"""NODE"",""-401.076583"",""11.706136"",""-2028.124892"",""-0.128226"",""0.847312"",""-0.515384"""
"""NODE"",""-401.501375"",""11.799726"",""-2027.878359"",""-0.104712"",""0.842938"",""-0.527722"""
"""NODE"",""-401.928786"",""11.903505"",""-2027.64059"",""-0.080917"",""0.838112"",""-0.539463"""
"""NODE"",""-402.358498"",""12.017508"",""-2027.411824"",""-0.05636"",""0.832688"",""-0.550867"""
"""NODE"",""-402.790186"",""12.141775"",""-2027.19231"",""-0.031548"",""0.826789"",""-0.561626"""
"""NODE"",""-403.223502"",""12.276331"",""-2026.982275"",""-0.006284"",""0.820343"",""-0.571837"""
"""NODE"",""-403.658094"",""12.421213"",""-2026.78197"",""0.019444"",""0.813324"",""-0.581486"""
"""NODE"",""-404.093595"",""12.576462"",""-2026.591655"",""0.045649"",""0.805706"",""-0.590554"""
"""NODE"",""-404.529626"",""12.742116"",""-2026.411602"",""0.072325"",""0.797463"",""-0.599018"""
"""NODE"",""-404.965788"",""12.918203"",""-2026.242079"",""0.099682"",""0.788472"",""-0.606939"""
"""NODE"",""-405.401678"",""13.104727"",""-2026.08337"",""0.126879"",""0.779086"",""-0.613943"""
"""NODE"",""-405.83687"",""13.301608"",""-2025.935636"",""0.154552"",""0.768998"",""-0.620286"""
"""NODE"",""-406.270934"",""13.508786"",""-2025.799085"",""0.182501"",""0.758279"",""-0.625864"""
"""NODE"",""-406.703421"",""13.726218"",""-2025.673945"",""0.210763"",""0.746884"",""-0.630669"""
"""NODE"",""-407.133864"",""13.953853"",""-2025.560452"",""0.239295"",""0.734806"",""-0.634664"""
"""NODE"",""-407.561789"",""14.191608"",""-2025.458814"",""0.267983"",""0.722083"",""-0.637794"""
"""NODE"",""-407.986731"",""14.439334"",""-2025.369178"",""0.2966"",""0.708834"",""-0.639987"""
"""NODE"",""-408.408235"",""14.696822"",""-2025.291626"",""0.325175"",""0.695027"",""-0.641248"""
"""NODE"",""-408.825863"",""14.963822"",""-2025.226221"",""0.353483"",""0.680803"",""-0.641527"""
"""NODE"",""-409.23913"",""15.240123"",""-2025.172868"",""0.381435"",""0.66615"",""-0.640899"""
"""NODE"",""-409.647528"",""15.525546"",""-2025.13136"",""0.40892"",""0.651018"",""-0.639499"""
"""NODE"",""-410.050558"",""15.819915"",""-2025.101472"",""0.435876"",""0.635324"",""-0.637476"""
"""NODE"",""-410.447723"",""16.123065"",""-2025.082992"",""0.462288"",""0.618945"",""-0.634978"""
"""NODE"",""-410.838515"",""16.43485"",""-2025.075737"",""0.488066"",""0.601813"",""-0.632149"""
"""NODE"",""-411.222531"",""16.755002"",""-2025.079425"",""0.512658"",""0.58428"",""-0.629125"""
"""NODE"",""-411.599493"",""17.083147"",""-2025.093629"",""0.535994"",""0.566314"",""-0.626098"""
"""NODE"",""-411.969136"",""17.418938"",""-2025.117939"",""0.558063"",""0.547834"",""-0.623253"""
"""NODE"",""-412.331208"",""17.762058"",""-2025.15196"",""0.578843"",""0.528755"",""-0.620773"""
"""NODE"",""-412.68547"",""18.112207"",""-2025.195289"",""0.598274"",""0.509024"",""-0.61884"""
"""NODE"",""-413.031715"",""18.469098"",""-2025.247509"",""0.616233"",""0.48864"",""-0.617647"""
"""NODE"",""-413.369775"",""18.832444"",""-2025.308178"",""0.632712"",""0.467488"",""-0.617358"""
"""NODE"",""-413.699554"",""19.20192"",""-2025.376883"",""0.647427"",""0.445716"",""-0.618204"""
"""NODE"",""-414.021066"",""19.577153"",""-2025.453154"",""0.6602"",""0.42337"",""-0.620399"""
"""NODE"",""-414.334386"",""19.957789"",""-2025.536433"",""0.670885"",""0.400434"",""-0.624152"""
"""NODE"",""-414.6396"",""20.343515"",""-2025.626147"",""0.679416"",""0.376773"",""-0.629631"""
"""NODE"",""-414.936767"",""20.734077"",""-2025.721768"",""0.685768"",""0.35216"",""-0.636951"""
"""NODE"",""-415.225891"",""21.129271"",""-2025.822857"",""0.689936"",""0.326289"",""-0.646161"""
"""NODE"",""-415.50689"",""21.52896"",""-2025.929061"",""0.691703"",""0.299036"",""-0.657362"""
"""NODE"",""-415.779752"",""21.933008"",""-2026.039893"",""0.690563"",""0.270585"",""-0.67075"""
"""NODE"",""-416.04456"",""22.341239"",""-2026.154855"",""0.686284"",""0.240726"",""-0.686342"""
"""NODE"",""-416.301387"",""22.753439"",""-2026.273694"",""0.678689"",""0.209216"",""-0.703996"""
"""NODE"",""-416.550505"",""23.169178"",""-2026.396553"",""0.66766"",""0.176033"",""-0.723355"""
"""NODE"",""-416.792285"",""23.587948"",""-2026.523706"",""0.653074"",""0.141267"",""-0.744001"""
"""NODE"",""-417.027169"",""24.009216"",""-2026.655447"",""0.634777"",""0.105064"",""-0.765519"""
"""NODE"",""-417.255717"",""24.432409"",""-2026.792083"",""0.612735"",""0.067524"",""-0.787398"""
"""NODE"",""-417.47845"",""24.856976"",""-2026.933954"",""0.587059"",""0.028594"",""-0.809039"""
"""NODE"",""-417.695807"",""25.282425"",""-2027.081413"",""0.557803"",""-0.011597"",""-0.829893"""
"""NODE"",""-417.908324"",""25.708222"",""-2027.234804"",""0.524987"",""-0.052815"",""-0.84947"""
"""NODE"",""-418.116674"",""26.13378"",""-2027.394448"",""0.488674"",""-0.094791"",""-0.867302"""
"""NODE"",""-418.321689"",""26.55846"",""-2027.560615"",""0.448978"",""-0.137237"",""-0.882941"""
"""NODE"",""-418.524392"",""26.981563"",""-2027.733503"",""0.406163"",""-0.179914"",""-0.895914"""
"""NODE"",""-418.72592"",""27.402328"",""-2027.913334"",""0.360792"",""-0.222844"",""-0.905632"""
"""NODE"",""-418.927235"",""27.820067"",""-2028.100312"",""0.313366"",""-0.265827"",""-0.911668"""
"""NODE"",""-419.129306"",""28.234134"",""-2028.294503"",""0.264259"",""-0.308552"",""-0.913763"""
"""NODE"",""-419.333152"",""28.643894"",""-2028.49584"",""0.21392"",""-0.350724"",""-0.911719"""
"""NODE"",""-419.539832"",""29.048731"",""-2028.704125"",""0.162776"",""-0.392082"",""-0.905415"""
"""NODE"",""-419.750464"",""29.448031"",""-2028.919035"",""0.111648"",""-0.432412"",""-0.894737"""
"""NODE"",""-419.966175"",""29.841136"",""-2029.14023"",""0.061103"",""-0.471704"",""-0.879637"""
"""NODE"",""-420.187921"",""30.22746"",""-2029.367326"",""0.011762"",""-0.509746"",""-0.860245"""
"""NODE"",""-420.416559"",""30.606485"",""-2029.599819"",""-0.035915"",""-0.546315"",""-0.836809"""
"""NODE"",""-420.652875"",""30.977753"",""-2029.837101"",""-0.081488"",""-0.581229"",""-0.809649"""
"""NODE"",""-420.897609"",""31.340844"",""-2030.078464"",""-0.124496"",""-0.614357"",""-0.779144"""
"""NODE"",""-421.151474"",""31.695358"",""-2030.323123"",""-0.16459"",""-0.645674"",""-0.745665"""
"""NODE"",""-421.415104"",""32.040869"",""-2030.570319"",""-0.201093"",""-0.67529"",""-0.709609"""
"""NODE"",""-421.688929"",""32.37698"",""-2030.819383"",""-0.23377"",""-0.703185"",""-0.671478"""
"""NODE"",""-421.973303"",""32.703319"",""-2031.069619"",""-0.262426"",""-0.729353"",""-0.631804"""
"""NODE"",""-422.268491"",""33.019537"",""-2031.320319"",""-0.286945"",""-0.753815"",""-0.591122"""
"""NODE"",""-422.57466"",""33.325324"",""-2031.57079"",""-0.307282"",""-0.776598"",""-0.549975"""
"""NODE"",""-422.891869"",""33.620409"",""-2031.820354"",""-0.323485"",""-0.797737"",""-0.508895"""
"""NODE"",""-423.220155"",""33.904496"",""-2032.068348"",""-0.335308"",""-0.817455"",""-0.468334"""
"""NODE"",""-423.559447"",""34.177234"",""-2032.314261"",""-0.342839"",""-0.835858"",""-0.428722"""
"""NODE"",""-423.909607"",""34.438268"",""-2032.557628"",""-0.346168"",""-0.853032"",""-0.390517"",""-399"",""4"",""-2024"""
"""NODE"",""-424.270432"",""34.687244"",""-2032.798034"",""-0.345404"",""-0.869078"",""-0.354117"""
"""NODE"",""-424.64151"",""34.923798"",""-2033.035356"",""-0.340731"",""-0.88414"",""-0.319685"""
"""NODE"",""-425.022302"",""35.147506"",""-2033.269727"",""-0.332221"",""-0.898431"",""-0.287142"""
"""NODE"",""-425.412245"",""35.357842"",""-2033.501414"",""-0.320647"",""-0.911799"",""-0.25653"""
"""NODE"",""-425.810772"",""35.554383"",""-2033.730596"",""-0.30602"",""-0.924378"",""-0.227767"""
"""NODE"",""-426.217299"",""35.736673"",""-2033.9575"",""-0.288642"",""-0.936155"",""-0.200748"""
"""NODE"",""-426.631258"",""35.904152"",""-2034.182368"",""-0.268589"",""-0.94717"",""-0.175296"""
"""NODE"",""-427.052077"",""36.056186"",""-2034.405462"",""-0.245961"",""-0.95741"",""-0.151227"""
"""NODE"",""-427.479159"",""36.192098"",""-2034.627051"",""-0.220911"",""-0.966807"",""-0.128383"""
"""NODE"",""-427.911861"",""36.311217"",""-2034.847405"",""-0.193773"",""-0.975228"",""-0.10669"""
"""NODE"",""-428.349474"",""36.413099"",""-2035.066696"",""-0.165209"",""-0.982481"",""-0.086233"""
"""NODE"",""-428.791296"",""36.497464"",""-2035.284975"",""-0.135357"",""-0.988538"",""-0.066868"""
"""NODE"",""-429.236626"",""36.563984"",""-2035.502295"",""-0.104252"",""-0.993372"",""-0.048408"""
"""NODE"",""-429.684739"",""36.612312"",""-2035.718706"",""-0.072017"",""-0.996931"",""-0.030707"""
"""NODE"",""-430.134873"",""36.642126"",""-2035.934253"",""-0.039145"",""-0.999138"",""-0.013792"""
"""NODE"",""-430.586255"",""36.653261"",""-2036.14896"",""-0.005161"",""-0.999983"",""0.002759"""
"""NODE"",""-431.038137"",""36.645664"",""-2036.36277"",""0.028646"",""-0.999418"",""0.018524"""
"""NODE"",""-431.489798"",""36.619497"",""-2036.575584"",""0.062309"",""-0.997487"",""0.033709"""
"""NODE"",""-431.940535"",""36.574988"",""-2036.787314"",""0.095688"",""-0.994232"",""0.048432"""
"""NODE"",""-432.389656"",""36.512339"",""-2036.997881"",""0.128839"",""-0.989668"",""0.062904"""
"""NODE"",""-432.836463"",""36.431604"",""-2037.207203"",""0.162103"",""-0.983727"",""0.07749"""
"""NODE"",""-433.280282"",""36.332961"",""-2037.415205"",""0.194303"",""-0.976636"",""0.091805"""
"""NODE"",""-433.720487"",""36.216825"",""-2037.62186"",""0.225708"",""-0.968392"",""0.106172"""
"""NODE"",""-434.156451"",""36.083631"",""-2037.827218"",""0.256083"",""-0.959086"",""0.120728"""
"""NODE"",""-434.587617"",""35.933835"",""-2038.031254"",""0.285225"",""-0.948826"",""0.135557"""
"""NODE"",""-435.013618"",""35.768019"",""-2038.233748"",""0.312724"",""-0.937854"",""0.150448"""
"""NODE"",""-435.434118"",""35.586715"",""-2038.434463"",""0.339589"",""-0.925838"",""0.16584"""
"""NODE"",""-435.848707"",""35.390191"",""-2038.633143"",""0.365415"",""-0.912973"",""0.18153"""
"""NODE"",""-436.257039"",""35.178856"",""-2038.829566"",""0.390049"",""-0.899382"",""0.197417"""
"""NODE"",""-436.658841"",""34.953238"",""-2039.02355"",""0.413432"",""-0.885162"",""0.213453"""
"""NODE"",""-437.053862"",""34.713831"",""-2039.214916"",""0.435655"",""-0.870323"",""0.229657"""
"""NODE"",""-437.441823"",""34.461014"",""-2039.403464"",""0.45707"",""-0.854692"",""0.246147"""
"""NODE"",""-437.822407"",""34.195098"",""-2039.589002"",""0.477653"",""-0.838292"",""0.262896"""
"""NODE"",""-438.195278"",""33.916337"",""-2039.771324"",""0.497455"",""-0.821096"",""0.279893"""
"""NODE"",""-438.56013"",""33.625048"",""-2039.950255"",""0.516252"",""-0.803284"",""0.297015"""
"""NODE"",""-438.91678"",""33.321725"",""-2040.125689"",""0.533839"",""-0.785065"",""0.314148"""
"""NODE"",""-439.265032"",""33.006767"",""-2040.297453"",""0.550702"",""-0.766064"",""0.331471"""
"""NODE"",""-439.604527"",""32.680344"",""-2040.465297"",""0.566921"",""-0.7462"",""0.348978"""
"""NODE"",""-439.934967"",""32.34273"",""-2040.629026"",""0.582276"",""-0.72567"",""0.366549"""
"""NODE"",""-440.25613"",""31.994292"",""-2040.788484"",""0.596636"",""-0.704623"",""0.3841"""
"""NODE"",""-440.567848"",""31.635439"",""-2040.943533"",""0.610041"",""-0.683049"",""0.401616"""
"""NODE"",""-440.869892"",""31.266481"",""-2041.093939"",""0.622741"",""-0.660681"",""0.41916"""
"""NODE"",""-441.161974"",""30.887668"",""-2041.239439"",""0.634687"",""-0.637564"",""0.436675"""
"""NODE"",""-441.443852"",""30.499309"",""-2041.379805"",""0.645796"",""-0.613799"",""0.454091"""
"""NODE"",""-441.715311"",""30.101744"",""-2041.514833"",""0.656036"",""-0.589437"",""0.471361"""
"""NODE"",""-441.976149"",""29.695324"",""-2041.644323"",""0.665433"",""-0.564454"",""0.488456"""
"""NODE"",""-442.226162"",""29.280388"",""-2041.768027"",""0.674023"",""-0.538803"",""0.505355"""
"""NODE"",""-442.465163"",""28.857253"",""-2041.885578"",""0.681862"",""-0.512402"",""0.522023"""
"""NODE"",""-442.692972"",""28.426261"",""-2041.996617"",""0.688917"",""-0.485299"",""0.538404"""
"""NODE"",""-442.909412"",""27.987766"",""-2042.100812"",""0.695176"",""-0.457515"",""0.554446"""
"""NODE"",""-443.114305"",""27.54214"",""-2042.197844"",""0.700628"",""-0.429079"",""0.570098"""
"""NODE"",""-443.307476"",""27.089763"",""-2042.287391"",""0.705358"",""-0.399828"",""0.585327"""
"""NODE"",""-443.488783"",""26.631053"",""-2042.369203"",""0.709034"",""-0.370429"",""0.600045"""
"""NODE"",""-443.65823"",""26.166468"",""-2042.442897"",""0.711934"",""-0.340401"",""0.614229"""
"""NODE"",""-443.815764"",""25.696457"",""-2042.508102"",""0.714047"",""-0.309769"",""0.627838"""
"""NODE"",""-443.961289"",""25.221453"",""-2042.564415"",""0.715402"",""-0.278468"",""0.640824"""
"""NODE"",""-444.094692"",""24.741901"",""-2042.611438"",""0.715999"",""-0.246503"",""0.653132"""
"""NODE"",""-444.215866"",""24.258267"",""-2042.648798"",""0.715813"",""-0.213966"",""0.664703"""
"""NODE"",""-444.324767"",""23.771061"",""-2042.676183"",""0.714765"",""-0.181161"",""0.675494"""
"""NODE"",""-444.421494"",""23.280831"",""-2042.693354"",""0.712867"",""-0.148169"",""0.685469"""
"""NODE"",""-444.506116"",""22.788113"",""-2042.700023"",""0.710185"",""-0.114843"",""0.694585"""
"""NODE"",""-444.578649"",""22.293441"",""-2042.695873"",""0.706756"",""-0.081101"",""0.702794"""
"""NODE"",""-444.639085"",""21.797364"",""-2042.680583"",""0.702591"",""-0.046955"",""0.710043"""
"""NODE"",""-444.687424"",""21.300448"",""-2042.653862"",""0.697672"",""-0.012568"",""0.716307"""
"""NODE"",""-444.723729"",""20.803274"",""-2042.615466"",""0.692043"",""0.022144"",""0.721517"""
"""NODE"",""-444.748065"",""20.306429"",""-2042.565177"",""0.685671"",""0.056875"",""0.725686"""
"""NODE"",""-444.760585"",""19.810509"",""-2042.502844"",""0.678584"",""0.091472"",""0.728805"""
"""NODE"",""-444.761494"",""19.316107"",""-2042.428396"",""0.670814"",""0.12582"",""0.730874"""
"""NODE"",""-444.750998"",""18.823802"",""-2042.341789"",""0.662406"",""0.159942"",""0.731872"""
"""NODE"",""-444.729267"",""18.334175"",""-2042.242954"",""0.653397"",""0.193976"",""0.731742"""
"""NODE"",""-444.696391"",""17.847828"",""-2042.131773"",""0.643809"",""0.228056"",""0.730411"""
"""NODE"",""-444.652422"",""17.365373"",""-2042.008149"",""0.633668"",""0.261856"",""0.72794"""
"""NODE"",""-444.597645"",""16.887333"",""-2041.872308"",""0.623033"",""0.294723"",""0.724547"""
"""NODE"",""-444.532411"",""16.414177"",""-2041.724512"",""0.611954"",""0.326709"",""0.720259"""
"""NODE"",""-444.457054"",""15.946358"",""-2041.565001"",""0.600467"",""0.357887"",""0.715091"""
"""NODE"",""-444.371882"",""15.48432"",""-2041.393986"",""0.588597"",""0.388351"",""0.70904"""
"""NODE"",""-444.277169"",""15.028514"",""-2041.211639"",""0.576351"",""0.418214"",""0.70208"""
"""NODE"",""-444.173148"",""14.579408"",""-2041.018087"",""0.563733"",""0.447558"",""0.694188"""
"""NODE"",""-444.06004"",""14.13746"",""-2040.813476"",""0.550816"",""0.476125"",""0.685498"""
"""NODE"",""-443.938233"",""13.702921"",""-2040.598257"",""0.537776"",""0.503262"",""0.676405"""
"""NODE"",""-443.808163"",""13.275984"",""-2040.372897"",""0.524619"",""0.529242"",""0.666841"""
"""NODE"",""-443.670181"",""12.856873"",""-2040.137758"",""0.51134"",""0.554256"",""0.656758"""
"""NODE"",""-443.52461"",""12.445825"",""-2039.893151"",""0.497961"",""0.578352"",""0.646176"""
"""NODE"",""-443.371795"",""12.043037"",""-2039.639396"",""0.484558"",""0.601424"",""0.635211"""
"""NODE"",""-443.212155"",""11.648598"",""-2039.376874"",""0.471251"",""0.623244"",""0.624091"""
"""NODE"",""-443.046094"",""11.262614"",""-2039.105905"",""0.457881"",""0.644407"",""0.612442"""
"""NODE"",""-442.873847"",""10.885292"",""-2038.826721"",""0.444518"",""0.664758"",""0.600417"""
"""NODE"",""-442.695718"",""10.516733"",""-2038.539633"",""0.431278"",""0.684111"",""0.588211"""
"""NODE"",""-442.512077"",""10.156917"",""-2038.245021"",""0.418258"",""0.702357"",""0.575982"""
"""NODE"",""-442.323317"",""9.805763"",""-2037.943279"",""0.405502"",""0.719519"",""0.563791"""
"""NODE"",""-442.129811"",""9.463183"",""-2037.634761"",""0.392961"",""0.735788"",""0.551541"""
"""NODE"",""-441.931813"",""9.129231"",""-2037.319702"",""0.380469"",""0.751528"",""0.538933"""
"""NODE"",""-441.729482"",""8.804058"",""-2036.998278"",""0.368019"",""0.766757"",""0.525971"""
"""NODE"",""-441.52299"",""8.487771"",""-2036.670692"",""0.355661"",""0.781409"",""0.512744"""
"""NODE"",""-441.312535"",""8.180426"",""-2036.33717"",""0.343446"",""0.795425"",""0.499344"""
"""NODE"",""-441.09833"",""7.882021"",""-2035.997965"",""0.331378"",""0.808833"",""0.485776"""
"""NODE"",""-440.880582"",""7.592547"",""-2035.65332"",""0.319528"",""0.821546"",""0.472191"""
